product_rule_id,product_id,product_name,category_id,storage_type_id,storage_condition,temperature_profile,rule_status,min_value,max_value,duration_unit,normalized_min_days,normalized_max_days,recommended_days,evidence_classification,confidence,source_name,source_url,source_locator,source_value_text,handling_notes
13,5,Dokong,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
14,5,Dokong,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
15,5,Dokong,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
16,6,Duku,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
17,6,Duku,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
18,6,Duku,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
19,7,Durian,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
20,7,Durian,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
21,7,Durian,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
22,8,Guava,5,3,ROOM_TEMP,25-30 C,QUALITATIVE_ONLY,,,,,,,PRODUCT_SPECIFIC,MEDIUM,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Guava,Keep at room temperature until ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
23,8,Guava,5,1,FRIDGE,0-4 C,AVAILABLE,2,4,DAYS,2.0,4.0,3.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Guava,2-4 days refrigerated once ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
24,8,Guava,5,2,FREEZER,<= -18 C,NOT_RECOMMENDED,,,,,,,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Guava,Not recommended for freezing in the fresh whole state,Inspect for spoilage and follow package/manufacturer instructions when available.
25,9,Langsat,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
26,9,Langsat,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
27,9,Langsat,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
28,10,Pomelo,5,3,ROOM_TEMP,25-30 C,AVAILABLE,10,10,DAYS,10.0,10.0,10.0,CATEGORY_GENERALIZATION,MEDIUM,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Citrus fruit,10 days after purchase in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
29,10,Pomelo,5,1,FRIDGE,0-4 C,AVAILABLE,10,21,DAYS,10.0,21.0,15.5,CATEGORY_GENERALIZATION,MEDIUM,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Citrus fruit,10-21 days refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
30,10,Pomelo,5,2,FREEZER,<= -18 C,NOT_RECOMMENDED,,,,,,,CATEGORY_GENERALIZATION,MEDIUM,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Citrus fruit,Not recommended for freezing in the fresh whole state,Inspect for spoilage and follow package/manufacturer instructions when available.
31,11,Sweet Orange,5,3,ROOM_TEMP,25-30 C,AVAILABLE,10,10,DAYS,10.0,10.0,10.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Citrus fruit,10 days after purchase in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
32,11,Sweet Orange,5,1,FRIDGE,0-4 C,AVAILABLE,10,21,DAYS,10.0,21.0,15.5,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Citrus fruit,10-21 days refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
33,11,Sweet Orange,5,2,FREEZER,<= -18 C,NOT_RECOMMENDED,,,,,,,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Citrus fruit,Not recommended for freezing in the fresh whole state,Inspect for spoilage and follow package/manufacturer instructions when available.
34,12,Mango,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
35,12,Mango,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
36,12,Mango,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
37,13,Mangosteen,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
38,13,Mangosteen,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
39,13,Mangosteen,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
40,14,Dragon Fruit,5,3,ROOM_TEMP,25-30 C,AVAILABLE,2,5,DAYS,2.0,5.0,3.5,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Pitaya/dragon fruit,2-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
41,14,Dragon Fruit,5,1,FRIDGE,0-4 C,AVAILABLE,2,3,WEEKS,14.0,21.0,17.5,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Pitaya/dragon fruit,2-3 weeks refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
42,14,Dragon Fruit,5,2,FREEZER,<= -18 C,AVAILABLE,10,12,MONTHS,300.0,360.0,330.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Pitaya/dragon fruit,10-12 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
43,15,Pineapple,5,3,ROOM_TEMP,25-30 C,QUALITATIVE_ONLY,,,,,,,PRODUCT_SPECIFIC,MEDIUM,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Pineapple,Keep at room temperature until ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
44,15,Pineapple,5,1,FRIDGE,0-4 C,AVAILABLE,5,7,DAYS,5.0,7.0,6.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Pineapple,5-7 days refrigerated once ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
45,15,Pineapple,5,2,FREEZER,<= -18 C,AVAILABLE,10,12,MONTHS,300.0,360.0,330.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Pineapple,10-12 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
46,16,Jackfruit,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
47,16,Jackfruit,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
48,16,Jackfruit,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
49,17,Banana,5,3,ROOM_TEMP,25-30 C,QUALITATIVE_ONLY,,,,,,,PRODUCT_SPECIFIC,MEDIUM,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Bananas,Keep at room temperature until ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
50,17,Banana,5,1,FRIDGE,0-4 C,AVAILABLE,3,3,DAYS,3.0,3.0,3.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Bananas,3 days refrigerated once ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
51,17,Banana,5,2,FREEZER,<= -18 C,AVAILABLE,2,3,MONTHS,60.0,90.0,75.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Bananas,2-3 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
52,18,Pulasan,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
53,18,Pulasan,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
54,18,Pulasan,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
55,19,Rambutan,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
56,19,Rambutan,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
57,19,Rambutan,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
58,20,Salak,5,3,ROOM_TEMP,25-30 C,QUALITATIVE_ONLY,,,,,,,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Peaches, nectarines, plums, pears, sapote",Keep at room temperature until ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
59,20,Salak,5,1,FRIDGE,0-4 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Peaches, nectarines, plums, pears, sapote",3-5 days refrigerated once ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
60,20,Salak,5,2,FREEZER,<= -18 C,AVAILABLE,2,2,MONTHS,60.0,60.0,60.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Peaches, nectarines, plums, pears, sapote",2 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
61,21,Watermelon,5,3,ROOM_TEMP,25-30 C,AVAILABLE,1,2,DAYS,1.0,2.0,1.5,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Watermelon,1-2 days after purchase in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
